FORMA_EVASAO,PERIODO,FORMA_INGRESSO,ANO_INGRESSO,SEXO
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Transferência Ex-Ofício,2010,M
Abandono,1o. Semestre,Vestibular,2011,M
Abandono,1o. Semestre,Vestibular,2011,M
Abandono,1o. Semestre,Vestibular,2012,M
Abandono,1o. Semestre,Vestibular,2012,M
Abandono,1o. Semestre,Vestibular,2013,M
Abandono,1o. Semestre,Vestibular,2013,F
Abandono,1o. Semestre,Vestibular,2014,M
Abandono,1o. Semestre,Vestibular,2014,M
Abandono,1o. Semestre,Vestibular,2014,M
Abandono,1o. Semestre,Processo Seletivo/ENEM,2014,F
Abandono,1o. Semestre,Vestibular,2015,M
Abandono,1o. Semestre,Vestibular,2015,M
Abandono,1o. Semestre,Vestibular,2016,M
Abandono,1o. Semestre,Processo Seletivo/ENEM,2016,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2017,F
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2017,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2017,F
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2017,M
Cancelamento Administrativo,1o. Semestre,Processo Seletivo/ENEM,2017,M
Cancelamento Pedido,1o. Semestre,Vestibular,2014,M
Cancelamento Pedido,1o. Semestre,Vestibular,2014,F
Cancelamento Pedido,1o. Semestre,Processo Seletivo/ENEM,2014,F
Cancelamento Pedido,1o. Semestre,Vestibular,2015,M
Cancelamento Pedido,1o. Semestre,Vestibular,2015,M
Cancelamento Pedido,1o. Semestre,Vestibular,2015,M
Formatura,1o. Semestre,Vestibular,2010,M
Formatura,1o. Semestre,Vestibular,2010,M
Jubilamento,1o. Semestre,Vestibular,2010,M
Jubilamento,1o. Semestre,Vestibular,2010,M
Jubilamento,1o. Semestre,Vestibular,2011,M
Jubilamento,1o. Semestre,Vestibular,2011,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2017,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2017,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2017,M
Não Confirmação de Vaga,1o. Semestre,Processo Seletivo/ENEM,2017,M
Novo Vestibular,1o. Semestre,Vestibular,2010,M
Novo Vestibular,1o. Semestre,Vestibular,2013,M
Novo Vestibular,1o. Semestre,Vestibular,2016,M
Reopção,1o. Semestre,Vestibular,2015,M
Reopção,1o. Semestre,Processo Seletivo/ENEM,2016,M
Reopção,1o. Semestre,Vestibular,2016,M
Reopção,1o. Semestre,Processo Seletivo/ENEM,2016,M
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,F
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,M
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,M
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,F
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,F
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,F
Abandono,2o. Semestre,Vestibular,2008,M
Abandono,2o. Semestre,Vestibular,2010,F
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2011,M
Abandono,2o. Semestre,Vestibular,2012,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Reopção,2015,M
Abandono,2o. Semestre,Vestibular,2015,M
Abandono,2o. Semestre,Vestibular,2015,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2015,M
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Vestibular,2016,F
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Convênio Pec-G,2016,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2017,M
Cancelamento Pedido,2o. Semestre,Vestibular,2017,M
Formatura,2o. Semestre,Vestibular,2007,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2011,F
Formatura,2o. Semestre,Vestibular,2011,F
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,F
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,F
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Processo Seletivo/ENEM,2013,M
Formatura,2o. Semestre,Vestibular,2013,F
Formatura,2o. Semestre,Vestibular,2014,F
Formatura,2o. Semestre,Vestibular,2014,M
Formatura,2o. Semestre,Vestibular,2014,M
Formatura,2o. Semestre,Vestibular,2014,F
Formatura,2o. Semestre,Vestibular,2014,M
Formatura,2o. Semestre,Vestibular,2014,M
