FORMA_EVASAO,PERIODO,FORMA_INGRESSO,ANO_INGRESSO,SEXO
Abandono,1o. Semestre,Vestibular,2010,F
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Vestibular,2012,M
Abandono,1o. Semestre,Vestibular,2012,M
Abandono,1o. Semestre,Processo Seletivo/ENEM,2014,F
Abandono,1o. Semestre,Processo Seletivo/ENEM,2015,M
Abandono,1o. Semestre,Vestibular,2015,F
Abandono,1o. Semestre,Processo Seletivo/ENEM,2015,M
Abandono,1o. Semestre,Vestibular,2016,M
Abandono,1o. Semestre,Vestibular,2016,M
Abandono,1o. Semestre,Vestibular,2017,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2018,F
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2018,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2018,F
Cancelamento Pedido,1o. Semestre,Vestibular,2013,M
Cancelamento Pedido,1o. Semestre,Vestibular,2016,F
Cancelamento Pedido,1o. Semestre,Vestibular,2016,M
Cancelamento Pedido,1o. Semestre,Vestibular,2016,M
Cancelamento Pedido,1o. Semestre,Vestibular,2016,M
Cancelamento Pedido,1o. Semestre,Vestibular,2018,M
Cancelamento Pedido,1o. Semestre,Vestibular,2018,F
Cancelamento Pedido,1o. Semestre,Vestibular,2018,M
Cancelamento Pedido,1o. Semestre,Processo Seletivo/ENEM,2018,M
Formatura,1o. Semestre,Vestibular,2013,M
Formatura,1o. Semestre,Processo Seletivo/ENEM,2016,M
Jubilamento,1o. Semestre,Vestibular,2011,M
Jubilamento,1o. Semestre,Vestibular,2011,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,F
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Novo Vestibular,1o. Semestre,Vestibular,2014,F
Novo Vestibular,1o. Semestre,Vestibular,2017,F
Término de Registro Temporário,1o. Semestre,Mobilidade Acadêmica,2017,M
Término de Registro Temporário,1o. Semestre,Mobilidade Acadêmica,2017,M
Abandono,2o. Semestre,Vestibular,2011,M
Abandono,2o. Semestre,Vestibular,2011,M
Abandono,2o. Semestre,Vestibular,2012,M
Abandono,2o. Semestre,Vestibular,2012,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Vestibular,2014,M
Abandono,2o. Semestre,Vestibular,2015,F
Abandono,2o. Semestre,Vestibular,2015,M
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Vestibular,2016,F
Abandono,2o. Semestre,Processo Seletivo/ENEM,2016,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2017,M
Abandono,2o. Semestre,Vestibular,2018,M
Reopção,2o. Semestre,Vestibular,2016,M
Reopção,2o. Semestre,Processo Seletivo/ENEM,2017,M
Reopção,2o. Semestre,Vestibular,2017,M
